date,conso,cac40close,gdpcap,unemployment_rate,population,pop_0_20,pop_20_59,pop_60_75,pop_75,temp
2014-01-01,56921.25,4295.950195,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,8.891211518175606
2014-01-02,60583.229166666664,4227.279785,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,10.072394665520392
2014-01-03,61563.791666666664,4247.649902,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,10.873706431498647
2014-01-04,58536.0625,4247.649902,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,9.153632915936855
2014-01-05,58208.479166666664,4247.649902,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,6.980143302753379
2014-01-06,64356.125,4227.540039,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,11.48888604040549
2014-01-07,63894.458333333336,4262.680176,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,11.447161847672199
2014-01-08,63067.020833333336,4260.959961,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,11.347161463831736
2014-01-09,64171.520833333336,4225.140136999999,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,10.460837506395949
2014-01-10,65663.83333333333,4250.600098,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,6.149382718524523
2014-01-11,59938.0,4250.600098,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,7.038551134876155
2014-01-12,58975.229166666664,4250.600098,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,4.980253405164717
2014-01-13,66367.3125,4263.27002,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,7.512026251965746
2014-01-14,69254.29166666667,4274.200195,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,5.6657615070240235
2014-01-15,71050.35416666667,4332.069824,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,6.105527938499682
2014-01-16,68921.16666666667,4319.27002,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,8.5530321008869
2014-01-17,67405.72916666667,4327.5,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,8.088988421859012
2014-01-18,61864.8125,4327.5,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,7.393031184245894
2014-01-19,58947.416666666664,4327.5,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,7.309449534027738
2014-01-20,69201.14583333333,4322.859863000001,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,6.345244326594306
2014-01-21,72297.45833333333,4323.870117,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,3.6246619404069156
2014-01-22,72996.125,4324.97998,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,3.8916036281910253
2014-01-23,72047.64583333333,4280.959961,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,6.4948900584652245
2014-01-24,70825.04166666667,4161.470215,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,5.928418284080425
2014-01-25,64357.395833333336,4161.470215,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,5.60381134284784
2014-01-26,60539.5625,4161.470215,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,7.042755347972652
2014-01-27,69991.14583333333,4144.560059,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,5.110632200203732
2014-01-28,73213.125,4185.290039,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,5.151127589021772
2014-01-29,73412.33333333333,4156.97998,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,4.809874169609454
2014-01-30,72257.45833333333,4180.02002,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,5.551906483509736
2014-01-31,72792.14583333333,4165.720215,40144.059485000005,9.8,64028.0,15588708.0,32791541.0,15647709.0,5892998.0,5.150549315816556
2014-02-01,65666.72916666667,4165.720215,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,6.9657702984885885
2014-02-02,62822.645833333336,4165.720215,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,5.3277704558459735
2014-02-03,70252.77083333333,4107.75,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,4.8613353942686865
2014-02-04,70363.08333333333,4117.450195,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,6.973765294073045
2014-02-05,71548.27083333333,4117.790039,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,7.808726903041788
2014-02-06,70533.3125,4188.100098,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,8.207145995313128
2014-02-07,67156.4375,4228.180176,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,9.604580054356168
2014-02-08,63330.041666666664,4228.180176,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,7.820099704743416
2014-02-09,61338.625,4228.180176,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,6.7118409775904
2014-02-10,67916.33333333333,4237.129883,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,6.958118215867649
2014-02-11,70623.39583333333,4283.319824,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,5.945898722459261
2014-02-12,70848.3125,4305.5,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,6.358715573945644
2014-02-13,70345.22916666667,4312.799805,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,7.022409887618782
2014-02-14,69214.0,4340.140136999999,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,7.962575597888421
2014-02-15,60146.520833333336,4340.140136999999,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,9.938122802331188
2014-02-16,57920.8125,4340.140136999999,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,7.379821084169014
2014-02-17,65121.791666666664,4335.169922,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,7.0748539656035465
2014-02-18,67492.27083333333,4330.709961,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,7.164851221622351
2014-02-19,66303.39583333333,4341.100098,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,9.074464734178223
2014-02-20,65100.25,4355.490234000001,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,9.765899592558243
2014-02-21,65244.1875,4381.060059,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,7.730650792060117
2014-02-22,60701.083333333336,4381.060059,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,7.017256912720664
2014-02-23,55711.166666666664,4381.060059,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,8.731700184682758
2014-02-24,62229.3125,4419.129883,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,9.942883562452256
2014-02-25,64657.666666666664,4414.549805,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,9.595757888420769
2014-02-26,65512.416666666664,4396.910156,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,7.339620286065341
2014-02-27,68368.6875,4396.390136999999,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,6.457498902911216
2014-02-28,68451.54166666667,4408.080078,40144.059485000005,9.8,64048.0,15588708.0,32791541.0,15647709.0,5892998.0,6.328837774085063
2014-03-01,62470.770833333336,4408.080078,40144.059485000005,9.8,64066.0,15588708.0,32791541.0,15647709.0,5892998.0,6.084708265082202
2014-03-02,59298.5625,4408.080078,40144.059485000005,9.8,64066.0,15588708.0,32791541.0,15647709.0,5892998.0,6.103764018884226
